country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_of_measure,observation_status,current_age
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1990,20.69047026,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1991,19.20068269,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1992,17.73142728,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1993,16.33866618,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1994,14.92061723,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1995,13.71737319,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1996,12.50541163,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1997,11.36582754,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1998,10.3751604,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1999,9.435154166,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2000,8.700880152,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2001,8.099890037,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2002,7.611800648,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2003,7.203343489,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2004,6.963169712,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2005,6.86153895,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2006,6.911737152,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2007,7.079538809,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2008,7.538171683,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2009,8.325667798,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2010,9.482048403,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2011,10.86644075,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2012,12.43840984,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2013,13.99376912,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2014,15.55373536,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2015,16.67037238,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2016,17.32120037,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2017,17.45394697,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2018,17.20372696,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2019,16.64249006,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2020,16.30282565,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2021,15.74871299,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2022,15.31380437,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1990,17.66230539,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1991,16.67307283,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1992,15.76208468,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1993,14.81400409,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1994,14.03634526,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1995,13.22659058,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1996,12.48483785,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1997,11.7429974,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1998,11.03944763,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1999,10.3496259,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2000,9.682604248,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2001,9.018250645,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2002,8.419400119,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2003,7.912111025,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2004,7.445069063,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2005,7.111446876,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2006,6.985392147,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2007,7.06394073,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2008,7.279509568,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2009,7.568606643,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2010,7.852393149,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2011,8.197850048,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2012,8.536784458,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2013,9.052989437,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2014,9.483252764,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2015,9.808083439,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2016,10.03416949,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2017,10.04972031,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2018,10.10567739,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2019,10.06908436,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2020,9.985610524,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2021,9.913192565,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2022,9.753284337,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
