country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_of_measure,observation_status,current_age
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1990,20.6904702636009,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1991,19.2006826869033,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1992,17.7314272828719,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1993,16.3386661822134,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1994,14.9206172318737,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1995,13.7173731857389,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1996,12.5054116310232,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1997,11.3658275384119,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1998,10.3751604018433,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1999,9.43515416616292,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2000,8.70088015221237,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2001,8.09989003675975,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2002,7.61180064832805,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2003,7.20334348894309,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2004,6.96316971243466,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2005,6.86153895028146,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2006,6.91173715242563,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2007,7.0795388088197,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2008,7.53817168344163,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2009,8.32566779785314,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2010,9.48204840254319,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2011,10.8664407504354,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2012,12.4384098388712,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2013,13.9937691219652,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2014,15.5537353588441,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2015,16.6703723831049,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2016,17.3212003656278,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2017,17.4539469731642,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2018,17.2037269598446,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2019,16.6424900626023,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2020,16.3028256532592,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2021,15.7487129904651,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,2022,15.313804366069,Female,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1990,17.6623053932377,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1991,16.6730728305724,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1992,15.7620846818763,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1993,14.8140040936999,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1994,14.0363452550612,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1995,13.2265905789331,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
Afghanistan,AF,AFG,4,Mortality rate age 15-19,1996,12.4848378531339,Male,"Deaths per 1,000 youths aged 15",Normal value,Total
