Country,Adolescent Mortality Rate,Gdp Per Capita
,,21208581.16
Singapore,135.6991246,1817710.629
Netherlands,139.7732579,2117781.392
Japan,143.3301555,1602243.917
Sweden,147.4507299,2311672.134
Malta,151.9632555,804682.469
Denmark,156.0401608,2573933.352
Israel,162.4716158,1560512.298
San Marino,167.2953365,1319105.289
Spain,167.9485416,1218490.401
France,170.7603903,1740885.882
Italy,171.0093178,1610821.099
United Kingdom,171.3774834,2027405.274
Monaco,176.1993931,6672415.027
Switzerland,177.6682013,4290723.566
Germany,177.7475441,1888037.433
Luxembourg,184.0631716,4456922.26
"Macedonia, the former Yugoslav Republic of",187.6027277,143960.4521
Norway,189.6201311,3360908.173
Montenegro,191.6545187,160823.9976
Belgium,192.1337603,1891360.621
Greece,193.0935049,992995.4315
Hungary,196.3837997,550309.8333
Iceland,196.9942626,2311485.72
Ireland,197.1070836,2159874.492
South Korea,206.2947241,854782.9829
Czech Republic,208.1124797,521875.965
Australia,208.3327899,2528559.757
Andorra,211.6468028,1923691.028
Slovakia,211.810346,431100.4814
Serbia,213.6619486,153943.5273
Finland,214.805801,1951547.785
Slovenia,219.1691848,634504.5493
Canada,222.5770512,2057185.398
Cyprus,225.6263542,984028.2183
Austria,229.6656909,2002862.11
Portugal,236.9829107,899094.1561
Bahrain,239.2279545,1192297.062
United Arab Emirates,242.6263129,3510576.529
Poland,244.0543565,336199.2379
Croatia,249.0370676,379660.3697
Chile,250.676056,477683.7564
Maldives,255.6194036,316363.5346
China,259.7377627,184318.9466
Armenia,263.0778163,85267.27518
Kuwait,267.2781962,1756131.282
Georgia,269.4844345,191147.996
Cuba,270.280458,274925.945
Bulgaria,270.4147975,238216.5353
Brunei,271.9133452,2226373.494
Dominica,273.3847121,280016.5507
Albania,275.2164506,118357.1375
Romania,275.3475627,246110.2764
Costa Rica,286.3285206,476696.9621
Mauritius,294.4759618,311756.4245
Qatar,299.695961,3089748.894
Tunisia,300.6089105,157896.9898
Grenada,301.1969966,300554.9186
Turks and Caicos Islands,302.6396507,301684.721
Cape Verde,304.6728903,94955.86799
Oman,312.0307984,961081.4354
Anguilla,312.994271,
New Zealand,313.8903141,1840291.37
United States,314.5177804,2596758.947
Barbados,315.7723355,1024717.298
Tajikistan,321.7732201,34156.82738
Belarus,322.7486777,147300.9214
Morocco,329.8718458,115380.3185
Montserrat,333.3393103,
"Moldova, Republic of",335.0519087,80108.57958
Estonia,338.9963524,477012.9319
Algeria,339.1651133,231302.9203
Tonga,340.3634534,154954.7493
Kyrgyzstan,340.680314,36165.78636
Lebanon,356.2605545,227301.2289
Uruguay,358.571612,668506.0523
Argentina,358.7853329,666188.4402
Libyan Arab Jamahiriya,359.667548,738356.3685
Saint Lucia,360.7859598,401618.0764
Malaysia,360.8539825,338578.0638
Uzbekistan,367.5599954,74114.95004
Latvia,369.3959944,344403.6108
Jordan,369.5203994,187526.1605
Lithuania,373.359504,368291.6655
Seychelles,378.7984338,596455.4088
Ukraine,379.4039706,80775.32471
Vietnam,385.4245179,68063.42635
Azerbaijan,386.7588979,120331.6651
Egypt,387.9167371,134148.976
Bosnia and Herzegovina,391.8885191,115806.4184
"Palestinian Territory, Occupied",395.9219452,83035.57237
Antigua and Barbuda,396.9067193,661007.1454
Mexico,397.5314748,514415.4182
St. Vincent and the Grenadines,401.1763395,282648.5056
"Virgin Islands, British",401.3103443,
Turkey,406.1378417,397008.4947
Philippines,407.9423903,125398.0379
Peru,436.395261,259013.7176
Panama,441.1478309,482893.6888
Sri Lanka,445.8961699,121539.5608
Jamaica,449.3199104,275552.737
